CÓDIGO_ALUNO,CLASS_x,ACTIVITY NAME,TYPE,STARTED,SKILL,DATA GMT,DATA HORARIO,YEAR,MONTH,DAY,CLASS_y,ACTIVITIES,BADGES,IN CLASS,POINTS,SPEAKING TASKS,SPEAKING SKILL,SPEAKING TOTAL,QUIZZES,QUIZZES SKILL,RATINGS,FEEDBACKS,LEVEL,GRADE,GRADE_NUM,LEVEL_NUM
aluno2,6ve7m,Using Technology,Vocabulary Quiz,2019-06-06 01:04 GMT-3,1,GMT-3,01:04,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Using Technology,Vocabulary Quiz,2019-06-06 01:03 GMT-3,0.83,GMT-3,01:03,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno1,6ve7m,Feelings 2,Vocabulary Quiz,2019-06-06 12:51 GMT-3,0.72,GMT-3,12:51,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Art + Career,Vocabulary Quiz,2019-06-06 12:49 GMT-3,1,GMT-3,12:49,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Adjectives-Art,Vocabulary Quiz,2019-06-06 12:46 GMT-3,1,GMT-3,12:46,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno451,fsqaw,At My House,Vocabulary Quiz,2019-06-06 09:55 GMT-3,0.83,GMT-3,09:55,2019,06,06,fsqaw,1,0,1,92,0,0,00:00:00,1,0.83,0,0,A0,8º ano,3,2
aluno8,ygz43,Leisure,Vocabulary Quiz,2019-06-05 11:01 GMT-3,0.17,GMT-3,11:01,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Literature-Verbs,Vocabulary Quiz,2019-06-05 10:58 GMT-3,0,GMT-3,10:58,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno64,oany5,Food,Vocabulary Quiz,2019-06-05 10:58 GMT-3,0.9,GMT-3,10:58,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno8,ygz43,Fiction genres,Vocabulary Quiz,2019-06-05 10:54 GMT-3,0.17,GMT-3,10:54,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno1,6ve7m,Types of Art,Vocabulary Quiz,2019-06-05 10:50 GMT-3,0.5,GMT-3,10:50,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno8,ygz43,Reading Materials,Vocabulary Quiz,2019-06-05 10:44 GMT-3,0.17,GMT-3,10:44,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Literary profession,Vocabulary Quiz,2019-06-05 10:41 GMT-3,0,GMT-3,10:41,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno64,oany5,Verbs-Biology,Vocabulary Quiz,2019-06-05 10:40 GMT-3,0.5,GMT-3,10:40,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno8,ygz43,Zodiac Signs,Vocabulary Quiz,2019-06-05 10:39 GMT-3,0.17,GMT-3,10:39,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno1,6ve7m,Relationships,Vocabulary Quiz,2019-06-05 10:39 GMT-3,0.7,GMT-3,10:39,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno8,ygz43,Profile Adjectives,Vocabulary Quiz,2019-06-05 10:37 GMT-3,0.33,GMT-3,10:37,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Zodiac Signs,Vocabulary Quiz,2019-06-05 10:28 GMT-3,0.17,GMT-3,10:28,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno87,dg23e,People,Vocabulary Quiz,2019-06-05 10:21 GMT-3,0.83,GMT-3,10:21,2019,06,05,dg23e,61,0,0,3726,28,0,00:01:51,30,0.64,7,11,A0,7º ano,2,2
aluno8,ygz43,Believe it or Not?,Vocabulary Quiz,2019-06-05 10:20 GMT-3,0.33,GMT-3,10:20,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno67,icmob,Places in NYC,Vocabulary Quiz,2019-06-05 10:19 GMT-3,1,GMT-3,10:19,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno8,ygz43,Astrology Basics,Vocabulary Quiz,2019-06-05 10:19 GMT-3,0,GMT-3,10:19,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno67,icmob,Build,Vocabulary Quiz,2019-06-05 10:17 GMT-3,0.5,GMT-3,10:17,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno87,dg23e,At home 2,Vocabulary Quiz,2019-06-05 10:13 GMT-3,0.33,GMT-3,10:13,2019,06,05,dg23e,61,0,0,3726,28,0,00:01:51,30,0.64,7,11,A0,7º ano,2,2
aluno67,icmob,Exercise,Vocabulary Quiz,2019-06-05 10:10 GMT-3,1,GMT-3,10:10,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno67,icmob,Places in NYC,Vocabulary Quiz,2019-06-05 10:09 GMT-3,1,GMT-3,10:09,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno87,dg23e,Outside,Vocabulary Quiz,2019-06-05 10:09 GMT-3,0.67,GMT-3,10:09,2019,06,05,dg23e,61,0,0,3726,28,0,00:01:51,30,0.64,7,11,A0,7º ano,2,2
aluno23,87ccs,Literature in School,Vocabulary Quiz,2019-06-05 10:07 GMT-3,0.33,GMT-3,10:07,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno23,87ccs,At home 1,Vocabulary Quiz,2019-06-05 10:06 GMT-3,0.17,GMT-3,10:06,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno87,dg23e,Verbs,Vocabulary Quiz,2019-06-05 10:04 GMT-3,0.67,GMT-3,10:04,2019,06,05,dg23e,61,0,0,3726,28,0,00:01:51,30,0.64,7,11,A0,7º ano,2,2
aluno23,87ccs,Verbs 1,Vocabulary Quiz,2019-06-05 10:04 GMT-3,0.33,GMT-3,10:04,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno67,icmob,Places in NYC,Vocabulary Quiz,2019-06-05 10:04 GMT-3,1,GMT-3,10:04,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno67,icmob,Places in NYC,Vocabulary Quiz,2019-06-05 10:03 GMT-3,1,GMT-3,10:03,2019,06,05,icmob,65,0,0,4705,11,0,00:00:45,53,0.76,11,3,A1,8º ano,3,3
aluno8,ygz43,School + Technology,Vocabulary Quiz,2019-06-05 09:57 GMT-3,0.17,GMT-3,09:57,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Computers-Verbs,Vocabulary Quiz,2019-06-05 09:56 GMT-3,0.17,GMT-3,09:56,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Computer parts,Vocabulary Quiz,2019-06-05 09:55 GMT-3,0,GMT-3,09:55,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno198,ygz43,Food Adjectives,Vocabulary Quiz,2019-06-05 09:54 GMT-3,0.5,GMT-3,09:54,2019,06,05,ygz43,19,0,0,881,6,0,00:00:28,10,0.54,1,1,A1,7º ano,2,3
aluno8,ygz43,Gadgets,Vocabulary Quiz,2019-06-05 09:52 GMT-3,0.33,GMT-3,09:52,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Computers-Leisure,Vocabulary Quiz,2019-06-05 09:49 GMT-3,0.17,GMT-3,09:49,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Verbs-News,Vocabulary Quiz,2019-06-05 09:47 GMT-3,0.17,GMT-3,09:47,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Spreading the News,Vocabulary Quiz,2019-06-05 09:46 GMT-3,0,GMT-3,09:46,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno30,icmob,Jobs,Vocabulary Quiz,2019-06-05 09:42 GMT-3,0.3,GMT-3,09:42,2019,06,05,icmob,177,22,0,14453,91,0,00:09:36,83,0.73,23,47,A1,8º ano,3,3
aluno8,ygz43,Roles,Vocabulary Quiz,2019-06-05 09:38 GMT-3,0.17,GMT-3,09:38,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Station,Vocabulary Quiz,2019-06-05 09:37 GMT-3,0.17,GMT-3,09:37,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,At the Scene,Vocabulary Quiz,2019-06-05 09:36 GMT-3,0.17,GMT-3,09:36,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno4,dg23e,Science,Vocabulary Quiz,2019-06-05 09:34 GMT-3,0.1,GMT-3,09:34,2019,06,05,dg23e,542,54,0,46255,329,0,00:39:39,210,0.37,66,199,A1,7º ano,2,3
aluno156,ygz43,Colorful Things,Vocabulary Quiz,2019-06-05 09:31 GMT-3,0.5,GMT-3,09:31,2019,06,05,ygz43,22,3,0,1495,8,0,00:00:15,14,0.52,3,6,A0,7º ano,2,2
aluno8,ygz43,Professional Athletes,Vocabulary Quiz,2019-06-05 09:27 GMT-3,0,GMT-3,09:27,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Sports + people,Vocabulary Quiz,2019-06-05 09:25 GMT-3,0.5,GMT-3,09:25,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno8,ygz43,Unsportsmanlike,Vocabulary Quiz,2019-06-05 09:24 GMT-3,0.33,GMT-3,09:24,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno153,dg23e,Locations,Vocabulary Quiz,2019-06-05 09:24 GMT-3,0.5,GMT-3,09:24,2019,06,05,dg23e,33,0,0,1541,12,0,00:01:35,18,0.36,6,6,A1,7º ano,2,3
aluno8,ygz43,Sports Teams,Vocabulary Quiz,2019-06-05 09:20 GMT-3,0,GMT-3,09:20,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno23,87ccs,Books + Future,Vocabulary Quiz,2019-06-05 09:18 GMT-3,0.17,GMT-3,09:18,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno5,2ziol,Types of Art,Vocabulary Quiz,2019-06-05 09:18 GMT-3,1,GMT-3,09:18,2019,06,05,2ziol,497,42,0,41092,301,0,00:36:59,193,0.65,66,91,A2,8º ano,3,4
aluno8,ygz43,Sports-Verbs,Vocabulary Quiz,2019-06-05 09:15 GMT-3,0,GMT-3,09:15,2019,06,05,ygz43,288,0,0,30670,186,0,00:20:37,102,0.25,24,108,B1,7º ano,2,5
aluno23,87ccs,Book parts,Vocabulary Quiz,2019-06-05 09:05 GMT-3,0.5,GMT-3,09:05,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno23,87ccs,Dating,Vocabulary Quiz,2019-06-05 08:58 GMT-3,0,GMT-3,08:58,2019,06,05,87ccs,252,0,0,17886,169,0,00:20:01,82,0.3,30,67,A1,6º ano,1,3
aluno162,icmob,Music,Vocabulary Quiz,2019-06-05 08:43 GMT-3,0.6,GMT-3,08:43,2019,06,05,icmob,26,2,0,1362,8,0,00:01:05,18,0.61,1,4,A0,8º ano,3,2
aluno162,icmob,Hobbies,Vocabulary Quiz,2019-06-05 08:41 GMT-3,0.83,GMT-3,08:41,2019,06,05,icmob,26,2,0,1362,8,0,00:01:05,18,0.61,1,4,A0,8º ano,3,2
aluno162,icmob,Health advice,Vocabulary Quiz,2019-06-05 08:35 GMT-3,0.33,GMT-3,08:35,2019,06,05,icmob,26,2,0,1362,8,0,00:01:05,18,0.61,1,4,A0,8º ano,3,2
aluno1,6ve7m,Verbs-Art,Vocabulary Quiz,2019-06-05 08:15 GMT-3,0.83,GMT-3,08:15,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Art Vocabulary Quiz,Vocabulary Quiz,2019-06-05 08:08 GMT-3,0.83,GMT-3,08:08,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno5,2ziol,Relationships 1,Vocabulary Quiz,2019-06-05 08:04 GMT-3,0.39,GMT-3,08:04,2019,06,05,2ziol,497,42,0,41092,301,0,00:36:59,193,0.65,66,91,A2,8º ano,3,4
aluno64,oany5,Where Animals + Plants Live,Vocabulary Quiz,2019-06-05 07:51 GMT-3,0.67,GMT-3,07:51,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno5,2ziol,Feelings,Vocabulary Quiz,2019-06-05 07:45 GMT-3,0.83,GMT-3,07:45,2019,06,05,2ziol,497,42,0,41092,301,0,00:36:59,193,0.65,66,91,A2,8º ano,3,4
aluno64,oany5,Biology in School,Vocabulary Quiz,2019-06-05 07:44 GMT-3,0.83,GMT-3,07:44,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno336,icmob,Music,Vocabulary Quiz,2019-06-05 07:26 GMT-3,0.8,GMT-3,07:26,2019,06,05,icmob,7,0,0,216,1,0,00:00:03,6,0.52,1,0,A0,8º ano,3,2
aluno2,6ve7m,Astrology Basics,Vocabulary Quiz,2019-06-05 07:23 GMT-3,1,GMT-3,07:23,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno336,icmob,Hobbies,Vocabulary Quiz,2019-06-05 07:21 GMT-3,0.5,GMT-3,07:21,2019,06,05,icmob,7,0,0,216,1,0,00:00:03,6,0.52,1,0,A0,8º ano,3,2
aluno28,icmob,Jobs,Vocabulary Quiz,2019-06-05 07:18 GMT-3,0.3,GMT-3,07:18,2019,06,05,icmob,229,12,0,15745,121,0,00:14:59,105,0.64,24,54,A1,8º ano,3,3
aluno2,6ve7m,Zodiac Signs 1 2,Vocabulary Quiz,2019-06-05 07:18 GMT-3,1,GMT-3,07:18,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Zodiac Signs,Vocabulary Quiz,2019-06-05 07:16 GMT-3,1,GMT-3,07:16,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno336,icmob,Health advice,Vocabulary Quiz,2019-06-05 07:13 GMT-3,0.5,GMT-3,07:13,2019,06,05,icmob,7,0,0,216,1,0,00:00:03,6,0.52,1,0,A0,8º ano,3,2
aluno2,6ve7m,Phrasal Verbs,Vocabulary Quiz,2019-06-05 07:12 GMT-3,1,GMT-3,07:12,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Phrasal Verbs,Vocabulary Quiz,2019-06-05 07:11 GMT-3,0.67,GMT-3,07:11,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Useful Words,Vocabulary Quiz,2019-06-05 07:07 GMT-3,1,GMT-3,07:07,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno97,5u3zk,Health advice,Vocabulary Quiz,2019-06-05 07:03 GMT-3,0.83,GMT-3,07:03,2019,06,05,5u3zk,50,12,0,3222,9,0,00:00:20,40,0.44,4,0,A0,7º ano,2,2
aluno1,6ve7m,Childhood,Vocabulary Quiz,2019-06-05 06:58 GMT-3,1,GMT-3,06:58,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno2,6ve7m,Science,Vocabulary Quiz,2019-06-05 06:54 GMT-3,1,GMT-3,06:54,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno64,oany5,Different Diets,Vocabulary Quiz,2019-06-05 06:53 GMT-3,0.67,GMT-3,06:53,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno1,6ve7m,Zodiac Signs,Vocabulary Quiz,2019-06-05 06:52 GMT-3,0.67,GMT-3,06:52,2019,06,05,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno2,6ve7m,Science,Vocabulary Quiz,2019-06-05 06:50 GMT-3,0.7,GMT-3,06:50,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno64,oany5,At the Park,Vocabulary Quiz,2019-06-05 06:44 GMT-3,0.67,GMT-3,06:44,2019,06,05,oany5,64,4,0,5101,34,0,00:02:44,30,0.77,9,17,A1,9º ano,4,3
aluno74,oiqy9,Food,Vocabulary Quiz,2019-06-05 06:14 GMT-3,0.3,GMT-3,06:14,2019,06,05,oiqy9,53,14,0,4319,22,0,00:02:00,28,0.59,2,13,A1,9º ano,4,3
aluno74,oiqy9,Food,Vocabulary Quiz,2019-06-05 06:14 GMT-3,0.3,GMT-3,06:14,2019,06,05,oiqy9,53,14,0,4319,22,0,00:02:00,28,0.59,2,13,A1,9º ano,4,3
aluno2,6ve7m,Society,Vocabulary Quiz,2019-06-05 06:10 GMT-3,1,GMT-3,06:10,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Society,Vocabulary Quiz,2019-06-05 06:09 GMT-3,0.83,GMT-3,06:09,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno112,2ziol,Food,Vocabulary Quiz,2019-06-05 06:05 GMT-3,0.9,GMT-3,06:05,2019,06,05,2ziol,51,0,0,2888,23,0,00:01:19,25,0.47,7,3,A1,8º ano,3,3
aluno87,dg23e,At school,Vocabulary Quiz,2019-06-05 05:33 GMT-3,0.5,GMT-3,05:33,2019,06,05,dg23e,61,0,0,3726,28,0,00:01:51,30,0.64,7,11,A0,7º ano,2,2
aluno14,fof6t,Exercise,Vocabulary Quiz,2019-06-05 04:56 GMT-3,1,GMT-3,04:56,2019,06,05,fof6t,16,2,3,22271,0,0,00:00:00,16,0.37,3,0,A1,6º ano,1,3
aluno14,fof6t,Exercise,Vocabulary Quiz,2019-06-05 04:55 GMT-3,1,GMT-3,04:55,2019,06,05,fof6t,16,2,3,22271,0,0,00:00:00,16,0.37,3,0,A1,6º ano,1,3
aluno14,fof6t,Exercise,Vocabulary Quiz,2019-06-05 04:40 GMT-3,1,GMT-3,04:40,2019,06,05,fof6t,16,2,3,22271,0,0,00:00:00,16,0.37,3,0,A1,6º ano,1,3
aluno28,icmob,Where Animals + Plants Live,Vocabulary Quiz,2019-06-05 03:13 GMT-3,0.83,GMT-3,03:13,2019,06,05,icmob,229,12,0,15745,121,0,00:14:59,105,0.64,24,54,A1,8º ano,3,3
aluno30,icmob,Food Adjectives,Vocabulary Quiz,2019-06-05 03:01 GMT-3,0.8,GMT-3,03:01,2019,06,05,icmob,177,22,0,14453,91,0,00:09:36,83,0.73,23,47,A1,8º ano,3,3
aluno2,6ve7m,Running for Office,Vocabulary Quiz,2019-06-05 02:13 GMT-3,1,GMT-3,02:13,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Running for Office,Vocabulary Quiz,2019-06-05 02:11 GMT-3,0.83,GMT-3,02:11,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,In the News,Vocabulary Quiz,2019-06-05 02:06 GMT-3,1,GMT-3,02:06,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,People in Politics,Vocabulary Quiz,2019-06-05 01:58 GMT-3,1,GMT-3,01:58,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Voting,Vocabulary Quiz,2019-06-05 01:52 GMT-3,1,GMT-3,01:52,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno32,l8dt4,Food,Vocabulary Quiz,2019-06-05 01:43 GMT-3,0.5,GMT-3,01:43,2019,06,05,l8dt4,186,8,0,14172,103,0,00:06:35,83,0.73,21,41,A1,7º ano,2,3
aluno220,2ziol,Food,Vocabulary Quiz,2019-06-05 01:27 GMT-3,0.4,GMT-3,01:27,2019,06,05,2ziol,17,0,0,687,2,0,00:00:12,12,0.73,5,1,A1,8º ano,3,3
aluno2,6ve7m,At the Scene,Vocabulary Quiz,2019-06-05 01:24 GMT-3,1,GMT-3,01:24,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,News Content,Vocabulary Quiz,2019-06-05 01:21 GMT-3,1,GMT-3,01:21,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,News Channels,Vocabulary Quiz,2019-06-05 01:16 GMT-3,1,GMT-3,01:16,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Journalism,Vocabulary Quiz,2019-06-05 01:15 GMT-3,1,GMT-3,01:15,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Reporters 2,Vocabulary Quiz,2019-06-05 01:08 GMT-3,1,GMT-3,01:08,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Reporters 2,Vocabulary Quiz,2019-06-05 01:05 GMT-3,0.83,GMT-3,01:05,2019,06,05,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno302,olympicstest1,Hair,Vocabulary Quiz,2019-06-05 12:09 GMT-3,0.83,GMT-3,12:09,2019,06,05,olympicstest1,6,0,0,298,0,0,00:00:00,6,0.89,3,0,B1,6º ano,1,5
aluno135,5aybh,Verbs-Sports,Vocabulary Quiz,2019-06-05 12:02 GMT-3,0.83,GMT-3,12:02,2019,06,05,5aybh,32,0,0,1907,15,0,00:01:20,17,0.65,5,9,A1,7º ano,2,3
aluno302,olympicstest1,Stress,Vocabulary Quiz,2019-06-05 11:19 GMT-3,0.83,GMT-3,11:19,2019,06,05,olympicstest1,6,0,0,298,0,0,00:00:00,6,0.89,3,0,B1,6º ano,1,5
